reporterISO,reporter,partnerISO,partner,sector,commodity_code,commodity,trade_value_usd,year,flow
AUS,Australia,BFA,Burkina Faso,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",888.532,2025,Export
AUS,Australia,BRA,Brazil,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",689681577.586,2025,Export
AUS,Australia,BRN,Brunei Darussalam,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",423325163.184,2025,Export
AUS,Australia,CAN,Canada,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",42153.408,2025,Export
AUS,Australia,CCK,Cocos Isds,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",297896.667,2025,Export
AUS,Australia,CHL,Chile,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",26988851.648,2025,Export
AUS,Australia,CHN,China,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",7089965265.679,2025,Export
AUS,Australia,CIV,Côte d'Ivoire,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",49417.593,2025,Export
AUS,Australia,COK,Cook Isds,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1784510.15,2025,Export
AUS,Australia,CXR,Christmas Isds,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",14323484.615,2025,Export
AUS,Australia,DEU,Germany,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",213107657.97,2025,Export
AUS,Australia,DJI,Djibouti,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",17284.173,2025,Export
AUS,Australia,DNK,Denmark,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",20396.291,2025,Export
AUS,Australia,EGY,Egypt,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",63837.715,2025,Export
AUS,Australia,ESP,Spain,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",149596175.002,2025,Export
AUS,Australia,FIN,Finland,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",54424508.026,2025,Export
AUS,Australia,FJI,Fiji,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",20442489.041,2025,Export
AUS,Australia,FRA,France,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",365666240.337,2025,Export
AUS,Australia,FSM,FS Micronesia,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",33706.231,2025,Export
AUS,Australia,GAB,Gabon,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",27081.867,2025,Export
AUS,Australia,GBR,United Kingdom,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",47393661.514,2025,Export
AUS,Australia,GEO,Georgia,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",13424612.907,2025,Export
AUS,Australia,GHA,Ghana,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",354057.181,2025,Export
AUS,Australia,GIN,Guinea,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",64599.314,2025,Export
AUS,Australia,GRC,Greece,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",49517.464,2025,Export
AUS,Australia,HKG,"China, Hong Kong SAR",energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",267934279.298,2025,Export
AUS,Australia,IDN,Indonesia,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1096612830.024,2025,Export
AUS,Australia,IND,India,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",6740277965.164,2025,Export
AUS,Australia,IRQ,Iraq,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",7024.494,2025,Export
AUS,Australia,ISR,Israel,energy,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2958.123,2025,Export
