typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","792","TUR","Türkiye","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"708317290.09","708317290.09","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","800","UGA","Uganda","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"68134014.71","68134014.71","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","804","UKR","Ukraine","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"29812210.25","29812210.25","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","807","MKD","North Macedonia","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"8830108.82","8830108.82","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","818","EGY","Egypt","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"520939669.99","520939669.99","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","826","GBR","United Kingdom","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"577620311.72","577620311.72","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","834","TZA","United Rep. of Tanzania","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"7585657.72","7585657.72","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","899","_X ","Areas, nes","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1706262388.66","1706262388.66","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","0","W00","World","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"87111196818.03","87111196818.03","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","174","COM","Comoros","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2939021.18","2939021.18","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","178","COG","Congo","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"39431702.93","39431702.93","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","180","COD","Dem. Rep. of the Congo","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"49403514.46","49403514.46","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","188","CRI","Costa Rica","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"170669819.94","170669819.94","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","191","HRV","Croatia","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"31399658.46","31399658.46","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","192","CUB","Cuba","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"66998548.03","66998548.03","0","false","true",
"C","A","20250101","2025","52","2025","32","ARG","Argentina","X","Export","196","CYP","Cyprus","899","_X ","Areas, nes","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"47263630.62","47263630.62","0","false","true",
