reporterISO,reporter,partnerISO,partner,sector,commodity_code,commodity,trade_value_usd,year,flow
ARG,Argentina,PAN,Panama,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",12022560.9,2025,Export
ARG,Argentina,PAN,Panama,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",12022560.9,2025,Export
ARG,Argentina,PER,Peru,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",450889045.72,2025,Export
ARG,Argentina,PER,Peru,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",450889045.72,2025,Export
ARG,Argentina,POL,Poland,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",22508996.93,2025,Export
ARG,Argentina,POL,Poland,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",22508996.93,2025,Export
ARG,Argentina,PRY,Paraguay,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",128951345.18,2025,Export
ARG,Argentina,PRY,Paraguay,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",128951345.18,2025,Export
ARG,Argentina,SLV,El Salvador,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1278745.81,2025,Export
ARG,Argentina,SLV,El Salvador,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1278745.81,2025,Export
ARG,Argentina,TUR,Türkiye,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",37576.4,2025,Export
ARG,Argentina,TUR,Türkiye,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",37576.4,2025,Export
ARG,Argentina,URY,Uruguay,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",74875801.26,2025,Export
ARG,Argentina,URY,Uruguay,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",74875801.26,2025,Export
ARG,Argentina,USA,USA,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7019276.18,2025,Export
ARG,Argentina,USA,USA,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7019276.18,2025,Export
ARG,Argentina,VEN,Venezuela,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",91108481.61,2025,Export
ARG,Argentina,VEN,Venezuela,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",91108481.61,2025,Export
ARG,Argentina,W00,World,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7653700932.26,2025,Export
ARG,Argentina,W00,World,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7653700932.26,2025,Export
ARG,Argentina,ZAF,South Africa,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",42536771.35,2025,Export
ARG,Argentina,ZAF,South Africa,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",42536771.35,2025,Export
ARG,Argentina,_X,"Areas, nes",automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10687771.86,2025,Export
ARG,Argentina,_X,"Areas, nes",automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10687771.86,2025,Export
AUS,Australia,AGO,Angola,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",46523.903,2025,Export
AUS,Australia,ALB,Albania,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",25451.065,2025,Export
AUS,Australia,ARE,United Arab Emirates,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",283402853.094,2025,Export
AUS,Australia,ARG,Argentina,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",793384.451,2025,Export
AUS,Australia,ARM,Armenia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6646.916,2025,Export
AUS,Australia,ASM,American Samoa,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",113558.144,2025,Export
AUS,Australia,ATA,Antarctica,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",423206.759,2025,Export
AUS,Australia,AUT,Austria,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",976879.545,2025,Export
AUS,Australia,BEL,Belgium,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11500568.419,2025,Export
AUS,Australia,BEN,Benin,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",32860.869,2025,Export
AUS,Australia,BFA,Burkina Faso,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",273180.783,2025,Export
AUS,Australia,BGD,Bangladesh,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1344770.508,2025,Export
AUS,Australia,BGR,Bulgaria,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",104279.78,2025,Export
AUS,Australia,BHR,Bahrain,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1278958.563,2025,Export
AUS,Australia,BHS,Bahamas,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2113.405,2025,Export
AUS,Australia,BRA,Brazil,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2140375.967,2025,Export
AUS,Australia,BRB,Barbados,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",365340.701,2025,Export
AUS,Australia,BRN,Brunei Darussalam,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",499150.161,2025,Export
AUS,Australia,BTN,Bhutan,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1903.353,2025,Export
AUS,Australia,BWA,Botswana,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",646240.566,2025,Export
AUS,Australia,CAN,Canada,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9742758.047,2025,Export
AUS,Australia,CCK,Cocos Isds,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2435805.491,2025,Export
AUS,Australia,CHE,Switzerland,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2456665.056,2025,Export
AUS,Australia,CHL,Chile,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4641503.712,2025,Export
AUS,Australia,CHN,China,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",30901704.888,2025,Export
AUS,Australia,CIV,Côte d'Ivoire,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",956554.131,2025,Export
AUS,Australia,CMR,Cameroon,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",93331.312,2025,Export
AUS,Australia,COD,Dem. Rep. of the Congo,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",56712.061,2025,Export
AUS,Australia,COG,Congo,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",24046.424,2025,Export
AUS,Australia,COK,Cook Isds,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",74692.112,2025,Export
AUS,Australia,COL,Colombia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1008463.995,2025,Export
AUS,Australia,CRI,Costa Rica,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",685587.914,2025,Export
AUS,Australia,CXR,Christmas Isds,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1490583.85,2025,Export
AUS,Australia,CYM,Cayman Isds,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",104489.188,2025,Export
AUS,Australia,CYP,Cyprus,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1059912.519,2025,Export
AUS,Australia,CZE,Czechia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8204920.912,2025,Export
AUS,Australia,DEU,Germany,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",23660277.55,2025,Export
AUS,Australia,DJI,Djibouti,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",724.872,2025,Export
AUS,Australia,DMA,Dominica,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4976.811,2025,Export
AUS,Australia,DNK,Denmark,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",114025.283,2025,Export
AUS,Australia,DOM,Dominican Rep.,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",328396.064,2025,Export
AUS,Australia,DZA,Algeria,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",398530.824,2025,Export
AUS,Australia,ECU,Ecuador,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",936936.837,2025,Export
AUS,Australia,EGY,Egypt,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3137202.06,2025,Export
AUS,Australia,ERI,Eritrea,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8525.785,2025,Export
AUS,Australia,ESP,Spain,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2649669.183,2025,Export
AUS,Australia,EST,Estonia,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",48838.984,2025,Export
AUS,Australia,F19,"Other Africa, nes",automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",654640.062,2025,Export
AUS,Australia,FIN,Finland,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7932915.389,2025,Export
AUS,Australia,FJI,Fiji,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",12444666.348,2025,Export
AUS,Australia,FLK,Falkland Isds (Malvinas),automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1579.899,2025,Export
AUS,Australia,FRA,France,automotive,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8130169.522,2025,Export
